,venue_city,venue_state,venue_zip,number_games,lat,lng
0,Bridgeport,CT,06604,12,41.1792258,-73.1894384
1,Mobile,AL,36608,15,30.6953657,-88.0398912
2,Columbus,OH,43210,18,39.9611755,-82.99879419999999
3,Amherst,MA,1003,17,42.3732216,-72.5198537
4,Boulder,CO,80302,15,40.0149856,-105.2705456
5,New Orleans,LA,70125,4,29.95106579999999,-90.0715323
6,Jacksonville,FL,32224,12,30.3321838,-81.65565099999999
7,Houston,TX,77251,15,29.7604267,-95.3698028
8,Boone,NC,28608,13,36.216795,-81.6745517
9,Shreveport,LA,71104,1,32.5251516,-93.7501789
10,Houston,TX,77092,3,29.7604267,-95.3698028
11,Baton Rouge,LA,70803,18,30.4514677,-91.18714659999999
12,Brooklyn,NY,11217,24,40.6781784,-73.9441579
13,Reno,NV,89557,15,39.5296329,-119.8138027
14,Cedar Falls,IA,50614,16,42.5348993,-92.4453161
15,Midland,MI,48640,1,43.6155825,-84.2472116
16,Philadelphia,PA,19131,13,39.9525839,-75.1652215
17,Smithfield,RI,2917,12,41.9220496,-71.54951009999999
18,Norfolk,VA,23504,14,36.8507689,-76.28587259999999
19,Omaha,NE,68106,12,41.2565369,-95.9345034
20,Portland,OR,97227,26,45.5154586,-122.6793461
21,Paradise,NV,89158,18,36.0971945,-115.1466648
22,Easton,PA,18042,14,40.688432,-75.2207323
23,Allston,MA,2163,11,42.3539038,-71.1337112
24,Poughkeepsie,NY,12601,13,41.7003713,-73.9209701
25,Pine Bluff,AR,71611,10,34.2284312,-92.00319549999999
26,Martin,TN,38238,14,36.3433965,-88.8503379
27,Statesboro,GA,30458,13,32.4487876,-81.7831674
28,Terre Haute,IN,47809,15,39.4667034,-87.41390919999999
29,Columbia,MO,65211,16,38.9517053,-92.3340724
30,Pittsburgh,PA,15282,19,40.44062479999999,-79.9958864
31,Spokane,WA,99201,1,47.6587802,-117.4260465
32,Boise,ID,83725,22,43.6150186,-116.2023137
33,Wilmington,NC,28412,13,34.2103894,-77.8868117
34,Miami,FL,33199,17,25.7616798,-80.1917902
35,Dayton,OH,45417,20,39.7589478,-84.1916069
36,Des Moines,IA,50309,2,41.5868353,-93.6249593
37,Detroit,MI,48201,17,42.331427,-83.0457538
38,Winston-Salem,NC,27105,16,36.09985959999999,-80.244216
39,New Orleans,LA,70122,24,29.95106579999999,-90.0715323
40,Reading,PA,19602,1,40.3356483,-75.9268747
41,Bronx,NY,10471,11,40.8447819,-73.8648268
42,Starkville,MS,39762,21,33.4503998,-88.81838719999999
43,Portland,OR,97219,12,45.5154586,-122.6793461
44,Prairie View,TX,77446,11,30.0932737,-95.9877339
45,Kent,OH,44242,16,41.1536674,-81.3578859
46,Frisco,TX,75034,11,33.1506744,-96.82361159999999
47,Washington,DC,20016,12,38.9071923,-77.0368707
48,Richmond,VA,23173,15,37.5407246,-77.4360481
49,Denver,CO,80210,14,39.7392358,-104.990251
50,Jersey City,NJ,07306,12,40.7177545,-74.0431435
51,Charlotte,NC,28202,7,35.2270869,-80.8431267
52,North Charleston,SC,29418,9,32.8771106,-80.0130514
53,Hattiesburg,MS,39406,14,31.3271189,-89.29033919999999
54,Boca Raton,FL,33431,14,26.3683064,-80.1289321
55,Lynchburg,VA,24502,22,37.4137536,-79.14224639999999
56,Macon,GA,31207,14,32.8406946,-83.6324022
57,Corpus Christi,TX,78401,10,27.8005828,-97.39638099999999
58,West Lafayette,IN,47907,17,40.4258686,-86.90806549999999
59,San Marcos,TX,78666,14,29.8832749,-97.9413941
60,Lorman,MS,39096,14,31.8768104,-91.13770079999999
61,San Luis Obispo,CA,93407,13,35.2827524,-120.6596156
62,San Antonio,TX,78249,16,29.4241219,-98.49362819999999
63,Boston,MA,02114,3,42.3600825,-71.0588801
64,Worcester,MA,1610,13,42.2625932,-71.8022934
65,Stockton,CA,95211,19,37.9577016,-121.2907796
66,Long Beach,CA,90840,13,33.7700504,-118.1937395
67,Champaign,IL,61820,18,40.1164204,-88.2433829
68,Clinton,SC,29325,15,34.4726276,-81.88065619999999
69,Philadelphia,PA,19121,13,39.9525839,-75.1652215
70,Anaheim,CA,92806,7,33.8365932,-117.9143012
71,Tuscon,AZ,85721,16,32.2226066,-110.9747108
72,Great Falls,MT,59404,1,47.5052849,-111.3007715
73,Sunrise,FL,33323,2,26.1669711,-80.25659499999999
74,Queens,NY,11439,11,40.7282239,-73.7948516
75,Irvine,CA,92612,12,33.6845673,-117.8265049
76,Greeley,CO,80631,17,40.4233142,-104.7091322
77,Corvallis,OR,97331,16,44.5645659,-123.2620435
78,Flagstaff,AZ,86001,12,35.1982836,-111.651302
79,Ann Arbor,MI,48104,16,42.2808256,-83.7430378
80,Harrisonburg,VA,22807,14,38.4495688,-78.8689155
81,Youngstown,OH,44555,12,41.0997803,-80.6495194
82,Ithaca,NY,14853,12,42.4439614,-76.5018807
83,Chicago,IL,60612,3,41.8781136,-87.6297982
84,University Park,PA,16802,19,40.8147955,-77.86531260000001
85,Lexington,KY,40506,18,38.0405837,-84.5037164
86,Berkeley,CA,94720,17,37.8715926,-122.272747
87,Valparaiso,IN,46383,14,41.4730948,-87.0611412
88,Lawrence,KS,66045,17,38.9716689,-95.2352501
89,Philadelphia,PA,19141,14,39.9525839,-75.1652215
90,Logan,UT,84322,15,41.7369803,-111.8338359
91,South Orange,NJ,07079,1,40.7489277,-74.2609903
92,Birmingham,AL,35203,2,33.5185892,-86.8103567
93,Cleveland,OH,44115,21,41.49932,-81.6943605
94,Sacramento,CA,95819,13,38.5815719,-121.4943996
95,Mount Pleasant,MI,48858,16,43.59780749999999,-84.7675139
96,Sacramento,CA,95814,3,38.5815719,-121.4943996
97,Clarksville,TN,37040,18,36.5297706,-87.3594528
98,Carbondale,IL,62903,16,37.7272727,-89.2167501
99,New Haven,CT,6511,12,41.308274,-72.9278835
100,Annapolis,MD,21402,16,38.9784453,-76.4921829
101,Santa Barbara,CA,93106,14,34.4208305,-119.6981901
102,Athens,GA,30605,15,33.9519347,-83.357567
103,Portland,OR,97203,16,45.5154586,-122.6793461
104,Omaha,NE,68102,21,41.2565369,-95.9345034
105,Bethlehem,PA,18015,15,40.6259316,-75.37045789999999
106,Washington,DC,20052,18,38.9071923,-77.0368707
107,Fairfield,CT,06604,1,41.1408363,-73.2612615
108,Teaneck,NJ,7666,13,40.8932469,-74.0116536
109,Philadelphia,PA,19148,12,39.9525839,-75.1652215
110,Moon Township,PA,15108,10,40.51697670000001,-80.22134770000001
111,Grand Forks,ND,58203,13,47.9252568,-97.0328547
112,Tuscaloosa,AL,35487,16,33.2098407,-87.56917349999999
113,Chicago,IL,60616,16,41.8781136,-87.6297982
114,Cookeville,TN,38501,14,36.162839,-85.5016423
115,Kansas City,MO,64105,14,39.0997265,-94.5785667
116,Madison,WI,53715,18,43.0730517,-89.4012302
117,Boston,MA,2115,14,42.3600825,-71.0588801
118,Wichita,KS,67202,8,37.68717609999999,-97.33005299999999
119,Natchitoches,LA,71457,12,31.7607195,-93.08627489999999
120,Malibu,CA,90265,18,34.0259216,-118.7797571
121,Pocatello,ID,83209,14,42.8621042,-112.4506191
122,Cape Girardeau,MO,63701,14,37.3058839,-89.51814759999999
123,Hempstead,NY,11549,12,40.7062128,-73.6187397
124,Estero,FL,33928,12,26.438136,-81.8067523
125,Bloomington,IN,47408,18,39.165325,-86.52638569999999
126,Fort Worth,TX,76129,18,32.7554883,-97.3307658
127,Providence,RI,02918,1,41.8239891,-71.4128343
128,Spartanburg,SC,29301,13,34.9495672,-81.9320482
129,Maui,HI,96761,12,20.7983626,-156.3319253
130,Guilderland,NY,12206,17,42.7043568,-73.9116433
131,Asheville,NC,28801,11,35.5950581,-82.5514869
132,Phoenix,AZ,85017,19,33.4483771,-112.0740373
133,Syracuse,NY,13210,19,43.0481221,-76.14742439999999
134,Sioux Falls,SD,57104,7,43.5473028,-96.728333
135,Morehead,KY,40351,13,38.1839705,-83.4326841
136,Alexandria,LA,71303,1,31.3112936,-92.4451371
137,Green Bay,WI,54311,1,44.5133188,-88.0132958
138,Chattanooga,TN,37403,18,35.0456297,-85.3096801
139,Lewisburg,PA,17837,16,40.9645293,-76.8844101
140,Fort Myers,FL,33913,23,26.640628,-81.8723084
141,Charleston,SC,29424,26,32.7764749,-79.93105120000001
142,Akron,OH,44325,17,41.0814447,-81.51900529999999
143,Athens,OH,45701,16,39.3292396,-82.1012554
144,Des Moines,IA,50311,14,41.5868353,-93.6249593
145,Fairfax,VA,22030,17,38.84622359999999,-77.30637329999999
146,Ogden,UT,84403,15,41.223,-111.9738304
147,Morgantown,WV,26506,17,39.629526,-79.95589679999999
148,Lewiston,NY,14109,17,43.1919494,-78.9853813
149,San Antonio,TX,78203,3,29.4241219,-98.49362819999999
150,Washington,DC,20059,11,38.9071923,-77.0368707
151,Norfolk,VA,23510,13,36.8507689,-76.28587259999999
152,Hamilton,NY,13346,16,42.8270136,-75.5446238
153,Orem,UT,84097,17,40.2968979,-111.6946475
154,Nashville,TN,37209,14,36.1626638,-86.7816016
155,Chicago,IL,60607,18,41.8781136,-87.6297982
156,Fort Wayne,IN,46805,16,41.079273,-85.1393513
157,Manhattan,KS,66502,17,39.18360819999999,-96.57166939999999
158,Birmingham,AL,35233,17,33.5185892,-86.8103567
159,Toledo,OH,43606,16,41.6528052,-83.5378674
160,Clemson,SC,29631,16,34.6834382,-82.8373654
161,Huntsville,AL,35801,1,34.7303688,-86.5861037
162,Tampa,FL,33620,18,27.950575,-82.4571776
163,Fayetteville,AR,72701,17,36.082156,-94.17185420000001
164,College Station,TX,77843,16,30.627977,-96.3344068
165,Conway,SC,29579,28,33.8360034,-79.0478143
166,Birmingham,AL,35229,15,33.5185892,-86.8103567
167,New Rochelle,NY,10801,11,40.9114882,-73.7823549
168,Arlington,TX,76019,15,32.735687,-97.10806559999999
169,Charlottesville,VA,22903,17,38.0293059,-78.47667810000002
170,Nashville,TN,37212,18,36.1626638,-86.7816016
171,Raleigh,NC,27587,1,35.7795897,-78.6381787
172,Washington,DC,20017,1,38.9071923,-77.0368707
173,Evansville,IN,47708,24,37.9715592,-87.5710898
174,Huntington,WV,25755,17,38.4192496,-82.44515400000002
175,Pittsburgh,PA,15261,18,40.44062479999999,-79.9958864
176,Fairborn,OH,45324,19,39.8208925,-84.01937889999999
177,Vermillion,SD,57069,15,42.7794417,-96.9292104
178,Boiling Springs,NC,28017,13,35.254292,-81.6670407
179,Nacogdoches,TX,75961,17,31.6035129,-94.6554874
180,Monroe,LA,71203,16,32.5093109,-92.1193012
181,Indianapolis,IN,46202,1,39.768403,-86.158068
182,Colorado Springs,CO,80840,16,38.8338816,-104.8213634
183,Baltimore,MD,21216,10,39.2903848,-76.6121893
184,Brooklyn,NY,11201,31,40.6781784,-73.9441579
185,Oxford,OH,45056,14,39.5069974,-84.74523099999999
186,Gainesville,FL,32611,17,29.6516344,-82.32482619999999
187,Nashville,TN,37203,6,36.1626638,-86.7816016
188,Washington,DC,20004,32,38.9071923,-77.0368707
189,Sioux Falls,SD,57107,8,43.5473028,-96.728333
190,Northridge,CA,91330,13,34.2381251,-118.530123
191,Pullman,WA,99163,15,46.7297771,-117.1817377
192,West Long Branch,NJ,07764,12,40.2903891,-74.0176381
193,Salt Lake City,UT,84112,17,40.7607793,-111.8910474
194,Conway,AR,72034,14,35.0886963,-92.4421011
195,Beaumont,TX,77710,15,30.080174,-94.1265562
196,Edinburg,TX,78539,16,26.3017374,-98.1633432
197,Asheville,NC,28804,21,35.5950581,-82.5514869
198,Phoenix,AZ,85004,2,33.4483771,-112.0740373
199,Stony Brook,NY,11790,14,40.9256538,-73.1409429
200,Towson,MD,21252,13,39.4014955,-76.6019125
201,New York,NY,10001,42,40.7127753,-74.0059728
202,Princeton,NJ,8542,12,40.3572976,-74.6672226
203,East Lansing,MI,48824,17,42.7369792,-84.48386540000001
204,Fairfield,CT,6825,14,41.1408363,-73.2612615
205,Wichita,KS,67260,15,37.68717609999999,-97.33005299999999
206,Rochester,MI,48309,15,42.680588,-83.1338214
207,Miami,FL,33132,2,25.7616798,-80.1917902
208,Nashville,TN,37235,18,36.1626638,-86.7816016
209,Chicago,IL,60626,15,41.8781136,-87.6297982
210,San Diego,CA,92182,21,32.715738,-117.1610838
211,Lowell,MA,1854,16,42.6334247,-71.31617179999999
212,Durham,NC,27706,16,35.9940329,-78.898619
213,Seattle,WA,98122,7,47.6062095,-122.3320708
214,San Francisco,CA,94118,22,37.7749295,-122.4194155
215,South Bend,IN,46556,17,41.6763545,-86.25198979999999
216,Fargo,ND,58102,14,46.8771863,-96.7898034
217,Atlanta,GA,30332,19,33.7489954,-84.3879824
218,Fresno,CA,93710,17,36.7377981,-119.7871247
219,Iowa City,IA,52242,15,41.6611277,-91.5301683
220,Piscataway,NJ,8854,22,40.554887,-74.4642861
221,Cheney,WA,99004,12,47.4873895,-117.5757622
222,Fullerton,CA,92834,23,33.8703645,-117.9242123
223,Springfield,MO,65897,15,37.2089572,-93.29229889999999
224,Los Angeles,CA,90089,18,34.0522342,-118.2436849
225,Indianapolis,IN,46205,12,39.768403,-86.158068
226,Portsmouth,VA,23707,16,36.8354258,-76.2982742
227,Baton Rouge,LA,70813,14,30.4514677,-91.18714659999999
228,Cantonsville,MD,21250,19,39.2720509,-76.73191609999999
229,Kalamazoo,MI,49008,16,42.2917069,-85.5872286
230,Lafayette,LA,70506,15,30.2240897,-92.0198427
231,Bowling Green,KY,42101,16,36.9685219,-86.4808043
232,Houston,TX,77074,13,29.7604267,-95.3698028
233,Emmitsburg,MD,21727,14,39.7045417,-77.32693069999999
234,Burlington,VT,5405,14,44.4758825,-73.21207199999999
235,Lexington,VA,24450,14,37.78402080000001,-79.4428157
236,Tallahassee,FL,32310,10,30.4382559,-84.28073289999999
237,Muncie,IN,47306,16,40.1933767,-85.3863599
238,Baltimore,MD,21239,10,39.2903848,-76.6121893
239,Chicago,IL,60628,11,41.8781136,-87.6297982
240,Kennesaw,GA,30144,14,34.0234337,-84.6154897
241,Durham,NC,27707,14,35.9940329,-78.898619
242,Cincinnati,OH,45207,18,39.1031182,-84.5120196
